Period,LoanID,CustomerName,Product,Branch,Stage,Outstanding_Cr,Provision_Cr,DPD,Secured_Value_Cr,Loss_Flag
Q4FY25,L0001,Sharma Textiles,Business Loan,Ahmedabad,Stage 1,3.27,0.013,0,2.45,N
Q4FY25,L0002,Patel Engineering,Equipment Finance,Indore,Stage 1,2.18,0.01,0,0.0,N
Q4FY25,L0003,Verma Logistics,LAP,Ahmedabad,Stage 1,3.14,0.028,30,2.35,N
Q4FY25,L0004,Iyer Foods,LAP,Pune,Stage 1,0.85,0.008,0,0.47,N
Q4FY25,L0005,Nair Constructions,LAP,Mumbai,Stage 3,5.53,3.145,174,4.15,N
Q4FY25,L0006,Reddy Agro,Equipment Finance,Pune,Stage 1,6.04,0.029,0,0.0,N
Q4FY25,L0008,Desai Pharma,Business Loan,Indore,Stage 1,2.38,0.02,0,2.14,N
Q4FY25,L0009,Bose Electricals,Equipment Finance,Ahmedabad,Stage 1,4.53,0.053,0,3.4,N
Q4FY25,L0010,Menon Traders,Business Loan,Pune,Stage 3,2.12,1.173,189,1.17,N
Q4FY25,L0011,Joshi Auto Parts,Working Capital,Ahmedabad,Stage 1,3.6,0.031,0,2.7,N
Q4FY25,L0012,Gupta Packaging,Working Capital,Ahmedabad,Stage 1,2.67,0.021,0,1.47,N
Q4FY25,L0013,Rao Chemicals,Equipment Finance,Ahmedabad,Stage 1,4.73,0.037,0,3.55,N
Q4FY25,L0014,Shetty Hospitality,Equipment Finance,Ahmedabad,Stage 1,5.69,0.075,0,0.0,N
Q4FY25,L0015,Pillai Marine,LAP,Indore,Stage 2,5.38,1.034,35,1.88,N
Q4FY25,L0016,Chauhan Motors,Working Capital,Mumbai,Stage 1,3.89,0.019,0,0.0,N
Q4FY25,L0017,Bhatt Ceramics,LAP,Mumbai,Stage 1,1.25,0.017,0,0.0,N
Q4FY25,L0018,Sinha Plastics,Business Loan,Indore,Stage 3,5.76,3.844,122,4.32,N
Q4FY25,L0019,Kapoor Garments,Business Loan,Nagpur,Stage 1,0.47,0.005,0,0.16,N
Q4FY25,L0020,Mehta Hardware,Business Loan,Ahmedabad,Stage 3,2.03,1.256,200,1.12,N
Q4FY25,L0021,Rana Cold Storage,LAP,Ahmedabad,Stage 1,1.91,0.016,24,1.43,N
Q4FY25,L0022,Dutta Printers,LAP,Indore,Stage 1,4.21,0.028,0,3.79,N
Q4FY25,L0023,Sethi Furniture,Equipment Finance,Mumbai,Stage 1,3.09,0.035,0,1.7,N
Q4FY25,L0024,Bansal Wires,Business Loan,Pune,Stage 3,0.86,0.508,375,0.47,N
Q4FY25,L0025,Thakur Transport,LAP,Pune,Stage 1,0.39,0.004,0,0.21,N
Q4FY25,L0026,Ghosh Seafoods,LAP,Ahmedabad,Stage 1,3.79,0.021,0,0.0,N
Q4FY25,L0027,Malhotra Tools,Business Loan,Indore,Stage 1,3.09,0.015,0,2.32,N
Q4FY25,L0028,Naidu Poultry,LAP,Ahmedabad,Stage 2,3.79,0.775,35,2.84,N
Q4FY25,L0029,Chopra Interiors,LAP,Nagpur,Stage 1,3.58,0.048,0,1.97,N
Q4FY25,L0030,Saxena Cables,Business Loan,Ahmedabad,Stage 1,5.42,0.073,0,4.06,N
Q4FY25,L0031,Deshmukh Dairy,Business Loan,Mumbai,Stage 3,5.51,3.876,121,4.96,N
Q4FY25,L0032,Ahuja Footwear,Working Capital,Indore,Stage 1,1.42,0.016,10,1.06,N
Q4FY25,L0033,Trivedi Tiles,Equipment Finance,Indore,Stage 1,5.68,0.038,0,4.26,N
Q4FY25,L0034,Barman Timber,Equipment Finance,Ahmedabad,Stage 1,4.84,0.047,0,4.36,N
Q4FY25,L0035,Lal Fasteners,Business Loan,Nagpur,Stage 3,4.02,2.503,193,1.41,N
Q4FY25,L0036,Karthik Solar,Working Capital,Ahmedabad,Stage 3,4.13,2.475,137,3.1,N
Q4FY25,L0037,Prasad Mills,LAP,Indore,Stage 1,3.47,0.043,0,2.6,N
Q4FY25,L0038,Fernandes Spices,LAP,Mumbai,Stage 1,5.47,0.05,0,4.1,N
