Period,LoanID,CustomerName,Product,Branch,Stage,Outstanding_Cr,Provision_Cr,DPD,Secured_Value_Cr,Loss_Flag
Q1FY26,L0001,Sharma Textiles,Business Loan,Ahmedabad,Stage 1,3.21,0.02,30,2.41,N
Q1FY26,L0002,Patel Engineering,Equipment Finance,Indore,Stage 1,2.15,0.017,0,0.0,N
Q1FY26,L0003,Verma Logistics,LAP,Ahmedabad,Stage 1,3.08,0.021,30,2.31,N
Q1FY26,L0004,Iyer Foods,LAP,Pune,Stage 1,0.84,0.01,0,0.46,N
Q1FY26,L0005,Nair Constructions,LAP,Mumbai,Stage 3,5.3,3.007,241,3.97,N
Q1FY26,L0006,Reddy Agro,Equipment Finance,Pune,Stage 1,5.9,0.077,0,0.0,N
Q1FY26,L0008,Desai Pharma,Business Loan,Indore,Stage 1,2.3,0.028,0,2.07,N
Q1FY26,L0009,Bose Electricals,Equipment Finance,Ahmedabad,Stage 1,4.36,0.018,0,3.27,N
Q1FY26,L0010,Menon Traders,Business Loan,Pune,Stage 2,2.09,0.259,87,1.15,N
Q1FY26,L0011,Joshi Auto Parts,Working Capital,Ahmedabad,Stage 1,3.45,0.039,0,2.59,N
Q1FY26,L0012,Gupta Packaging,Working Capital,Ahmedabad,Stage 1,2.66,0.012,0,1.46,N
Q1FY26,L0013,Rao Chemicals,Equipment Finance,Ahmedabad,Stage 1,4.61,0.049,0,3.46,N
Q1FY26,L0014,Shetty Hospitality,Equipment Finance,Ahmedabad,Stage 1,5.62,0.076,0,0.0,N
Q1FY26,L0015,Pillai Marine,LAP,Indore,Stage 3,5.25,2.652,126,1.84,N
Q1FY26,L0016,Chauhan Motors,Working Capital,Mumbai,Stage 2,3.82,0.347,38,0.0,N
Q1FY26,L0017,Bhatt Ceramics,LAP,Mumbai,Stage 1,1.22,0.012,0,0.0,N
Q1FY26,L0018,Sinha Plastics,Business Loan,Indore,Stage 3,5.52,2.771,152,4.14,N
Q1FY26,L0019,Kapoor Garments,Business Loan,Nagpur,Stage 1,0.46,0.004,0,0.16,N
Q1FY26,L0020,Mehta Hardware,Business Loan,Ahmedabad,Stage 3,1.95,1.193,277,1.07,N
Q1FY26,L0022,Dutta Printers,LAP,Indore,Stage 1,4.05,0.028,0,3.65,N
Q1FY26,L0023,Sethi Furniture,Equipment Finance,Mumbai,Stage 1,3.04,0.039,0,1.67,N
Q1FY26,L0024,Bansal Wires,Business Loan,Pune,Stage 3,0.83,0.459,375,0.46,N
Q1FY26,L0025,Thakur Transport,LAP,Pune,Stage 1,0.39,0.002,0,0.21,N
Q1FY26,L0026,Ghosh Seafoods,LAP,Ahmedabad,Stage 1,3.72,0.02,0,0.0,N
Q1FY26,L0027,Malhotra Tools,Business Loan,Indore,Stage 1,3.02,0.015,0,2.27,N
Q1FY26,L0028,Naidu Poultry,LAP,Ahmedabad,Stage 3,3.7,2.281,130,2.78,N
Q1FY26,L0029,Chopra Interiors,LAP,Nagpur,Stage 1,3.42,0.033,0,1.88,N
Q1FY26,L0030,Saxena Cables,Business Loan,Ahmedabad,Stage 1,5.2,0.061,0,3.9,N
Q1FY26,L0031,Deshmukh Dairy,Business Loan,Mumbai,Stage 2,5.43,0.969,68,4.89,N
Q1FY26,L0032,Ahuja Footwear,Working Capital,Indore,Stage 1,1.38,0.008,10,1.03,N
Q1FY26,L0033,Trivedi Tiles,Equipment Finance,Indore,Stage 1,5.55,0.042,0,4.16,N
Q1FY26,L0034,Barman Timber,Equipment Finance,Ahmedabad,Stage 1,4.71,0.04,0,4.24,N
Q1FY26,L0035,Lal Fasteners,Business Loan,Nagpur,Stage 3,3.86,2.631,257,1.35,N
Q1FY26,L0036,Karthik Solar,Working Capital,Ahmedabad,Stage 3,4.03,2.892,137,3.02,N
Q1FY26,L0037,Prasad Mills,LAP,Indore,Stage 1,3.38,0.039,0,2.54,N
Q1FY26,L0038,Fernandes Spices,LAP,Mumbai,Stage 1,5.5,0.044,0,4.12,N
Q1FY26,L0039,Wadhwa Paints,Working Capital,Mumbai,Stage 3,1.63,0.77,95,0.9,N
