Period,LoanID,CustomerName,Product,Branch,Stage,Outstanding_Cr,Provision_Cr,DPD,Secured_Value_Cr,Loss_Flag
Q2FY26,L0001,Sharma Textiles,Business Loan,Ahmedabad,Stage 1,3.12,0.043,30,2.34,N
Q2FY26,L0002,Patel Engineering,Equipment Finance,Indore,Stage 1,2.08,0.025,4,0.0,N
Q2FY26,L0003,Verma Logistics,LAP,Ahmedabad,Stage 3,3.0,1.477,106,2.25,N
Q2FY26,L0004,Iyer Foods,LAP,Pune,Stage 1,0.82,0.01,0,0.45,N
Q2FY26,L0005,Nair Constructions,LAP,Mumbai,Stage 3,5.24,3.654,303,3.93,N
Q2FY26,L0006,Reddy Agro,Equipment Finance,Pune,Stage 1,5.73,0.062,0,0.0,N
Q2FY26,L0008,Desai Pharma,Business Loan,Indore,Stage 1,2.27,0.019,29,2.04,N
Q2FY26,L0009,Bose Electricals,Equipment Finance,Ahmedabad,Stage 1,4.32,0.027,0,3.24,N
Q2FY26,L0010,Menon Traders,Business Loan,Pune,Stage 2,2.0,0.367,87,1.1,N
Q2FY26,L0011,Joshi Auto Parts,Working Capital,Ahmedabad,Stage 1,3.43,0.028,0,2.57,N
Q2FY26,L0012,Gupta Packaging,Working Capital,Ahmedabad,Stage 1,2.59,0.035,0,1.42,N
Q2FY26,L0013,Rao Chemicals,Equipment Finance,Ahmedabad,Stage 1,4.46,0.019,0,3.34,N
Q2FY26,L0014,Shetty Hospitality,Equipment Finance,Ahmedabad,Stage 1,5.51,0.031,0,0.0,N
Q2FY26,L0015,Pillai Marine,LAP,Indore,Stage 3,5.11,2.932,126,1.79,N
Q2FY26,L0016,Chauhan Motors,Working Capital,Mumbai,Stage 1,3.67,0.035,0,0.0,N
Q2FY26,L0017,Bhatt Ceramics,LAP,Mumbai,Stage 1,1.17,0.013,0,0.0,N
Q2FY26,L0018,Sinha Plastics,Business Loan,Indore,Stage 3,5.43,2.768,152,4.07,N
Q2FY26,L0019,Kapoor Garments,Business Loan,Nagpur,Stage 1,0.44,0.002,0,0.15,N
Q2FY26,L0020,Mehta Hardware,Business Loan,Ahmedabad,Stage 3,1.95,1.149,190,1.07,N
Q2FY26,L0022,Dutta Printers,LAP,Indore,Stage 2,4.02,0.558,44,3.62,N
Q2FY26,L0023,Sethi Furniture,Equipment Finance,Mumbai,Stage 1,3.0,0.037,0,1.65,N
Q2FY26,L0024,Bansal Wires,Business Loan,Pune,Stage 3,0.81,0.577,328,0.45,N
Q2FY26,L0025,Thakur Transport,LAP,Pune,Stage 1,0.38,0.004,0,0.21,N
Q2FY26,L0026,Ghosh Seafoods,LAP,Ahmedabad,Stage 1,3.62,0.035,0,0.0,N
Q2FY26,L0027,Malhotra Tools,Business Loan,Indore,Stage 1,2.97,0.036,25,2.23,N
Q2FY26,L0028,Naidu Poultry,LAP,Ahmedabad,Stage 1,3.64,0.038,16,2.73,N
Q2FY26,L0029,Chopra Interiors,LAP,Nagpur,Stage 1,3.43,0.041,0,1.89,N
Q2FY26,L0030,Saxena Cables,Business Loan,Ahmedabad,Stage 1,5.11,0.052,0,3.83,N
Q2FY26,L0031,Deshmukh Dairy,Business Loan,Mumbai,Stage 2,5.28,0.653,68,4.75,N
Q2FY26,L0032,Ahuja Footwear,Working Capital,Indore,Stage 3,1.35,0.643,114,1.01,N
Q2FY26,L0033,Trivedi Tiles,Equipment Finance,Indore,Stage 1,5.46,0.061,0,4.09,N
Q2FY26,L0034,Barman Timber,Equipment Finance,Ahmedabad,Stage 1,4.55,0.056,5,4.09,N
Q2FY26,L0035,Lal Fasteners,Business Loan,Nagpur,Stage 3,3.82,2.033,141,1.34,N
Q2FY26,L0036,Karthik Solar,Working Capital,Ahmedabad,Stage 3,3.9,2.317,227,2.92,N
Q2FY26,L0037,Prasad Mills,LAP,Indore,Stage 1,3.24,0.035,0,2.43,N
Q2FY26,L0038,Fernandes Spices,LAP,Mumbai,Stage 1,5.29,0.066,0,3.97,N
Q2FY26,L0039,Wadhwa Paints,Working Capital,Mumbai,Stage 1,1.58,0.01,0,0.87,N
