Period,LoanID,CustomerName,Product,Branch,Stage,Outstanding_Cr,Provision_Cr,DPD,Secured_Value_Cr,Loss_Flag
Q1FY25,L0001,Sharma Textiles,Business Loan,Ahmedabad,Stage 1,3.52,0.028,0,2.64,N
Q1FY25,L0002,Patel Engineering,Equipment Finance,Indore,Stage 1,2.33,0.027,0,0.0,N
Q1FY25,L0003,Verma Logistics,LAP,Ahmedabad,Stage 1,3.37,0.044,0,2.53,N
Q1FY25,L0004,Iyer Foods,LAP,Pune,Stage 1,0.9,0.012,0,0.5,N
Q1FY25,L0005,Nair Constructions,LAP,Mumbai,Stage 2,5.86,0.833,76,4.4,N
Q1FY25,L0006,Reddy Agro,Equipment Finance,Pune,Stage 1,6.34,0.086,0,0.0,N
Q1FY25,L0007,Kulkarni Steel,Working Capital,Mumbai,Stage 1,0.71,0.009,0,0.53,N
Q1FY25,L0008,Desai Pharma,Business Loan,Indore,Stage 2,2.52,0.47,31,2.27,N
Q1FY25,L0009,Bose Electricals,Equipment Finance,Ahmedabad,Stage 1,4.77,0.029,0,3.58,N
Q1FY25,L0010,Menon Traders,Business Loan,Pune,Stage 1,2.22,0.025,28,1.22,N
Q1FY25,L0011,Joshi Auto Parts,Working Capital,Ahmedabad,Stage 1,3.77,0.016,0,2.83,N
Q1FY25,L0012,Gupta Packaging,Working Capital,Ahmedabad,Stage 1,2.85,0.025,0,1.57,N
Q1FY25,L0013,Rao Chemicals,Equipment Finance,Ahmedabad,Stage 1,5.04,0.053,0,3.78,N
Q1FY25,L0014,Shetty Hospitality,Equipment Finance,Ahmedabad,Stage 1,6.2,0.083,14,0.0,N
Q1FY25,L0015,Pillai Marine,LAP,Indore,Stage 3,5.79,2.752,357,2.03,N
Q1FY25,L0016,Chauhan Motors,Working Capital,Mumbai,Stage 1,4.07,0.031,0,0.0,N
Q1FY25,L0017,Bhatt Ceramics,LAP,Mumbai,Stage 1,1.32,0.018,0,0.0,N
Q1FY25,L0018,Sinha Plastics,Business Loan,Indore,Stage 2,6.15,0.841,37,4.61,N
Q1FY25,L0019,Kapoor Garments,Business Loan,Nagpur,Stage 1,0.49,0.002,0,0.17,N
Q1FY25,L0020,Mehta Hardware,Business Loan,Ahmedabad,Stage 3,2.12,1.203,133,1.17,N
Q1FY25,L0021,Rana Cold Storage,LAP,Ahmedabad,Stage 1,2.03,0.027,0,1.52,N
Q1FY25,L0022,Dutta Printers,LAP,Indore,Stage 1,4.37,0.051,0,3.93,N
Q1FY25,L0023,Sethi Furniture,Equipment Finance,Mumbai,Stage 1,3.31,0.026,0,1.82,N
Q1FY25,L0024,Bansal Wires,Business Loan,Pune,Stage 3,0.91,0.479,416,0.5,N
Q1FY25,L0025,Thakur Transport,LAP,Pune,Stage 1,0.43,0.004,0,0.24,N
Q1FY25,L0026,Ghosh Seafoods,LAP,Ahmedabad,Stage 1,3.98,0.032,0,0.0,N
Q1FY25,L0027,Malhotra Tools,Business Loan,Indore,Stage 1,3.34,0.024,0,2.5,N
Q1FY25,L0028,Naidu Poultry,LAP,Ahmedabad,Stage 1,3.94,0.045,0,2.96,N
Q1FY25,L0029,Chopra Interiors,LAP,Nagpur,Stage 1,3.81,0.05,0,2.1,N
Q1FY25,L0030,Saxena Cables,Business Loan,Ahmedabad,Stage 1,5.72,0.024,0,4.29,N
Q1FY25,L0031,Deshmukh Dairy,Business Loan,Mumbai,Stage 1,5.92,0.029,0,5.33,N
Q1FY25,L0032,Ahuja Footwear,Working Capital,Indore,Stage 1,1.46,0.012,0,1.09,N
Q1FY25,L0033,Trivedi Tiles,Equipment Finance,Indore,Stage 1,6.1,0.042,0,4.57,N
Q1FY25,L0034,Barman Timber,Equipment Finance,Ahmedabad,Stage 1,5.09,0.023,0,4.58,N
Q1FY25,L0035,Lal Fasteners,Business Loan,Nagpur,Stage 1,4.26,0.043,23,1.49,N
Q1FY25,L0036,Karthik Solar,Working Capital,Ahmedabad,Stage 1,4.4,0.023,3,3.3,N
Q1FY25,L0037,Prasad Mills,LAP,Indore,Stage 1,3.69,0.026,0,2.77,N
